"";"...1";"ano";"uf";"rem_media_masculino";"rem_media_feminino";"razao_rem_media";"sigla_uf";"codigo_uf"
"1";"1";2021;21;5769,9219;4770,9458;1,2094;"MA";"MA"
"2";"2";2021;12;6430,2067;5351,332;1,2016;"AC";"AC"
"3";"3";2021;15;5668,8108;5406,7339;1,0485;"PA";"PA"
"4";"4";2021;53;8822,5683;7796,6983;1,1316;"DF";"DF"
"5";"5";2021;29;5777,8426;5052,555;1,1435;"BA";"BA"
"6";"6";2021;31;6685,6872;3640,617;1,8364;"MG";"MG"
"7";"7";2021;25;4384,106;3662,2861;1,1971;"PB";"PB"
"8";"8";2021;23;5716,742;4475,0146;1,2775;"CE";"CE"
"9";"9";2021;42;5731,4308;3859,4229;1,485;"SC";"SC"
"10";"10";2021;33;6453,1434;5072,6285;1,2721;"RJ";"RJ"
"11";"11";2021;28;5470,0101;3981,9278;1,3737;"SE";"SE"
"12";"12";2021;27;5573,207;3653,2833;1,5255;"AL";"AL"
"13";"13";2021;50;6561,9272;4783,1816;1,3719;"MS";"MS"
"14";"14";2021;24;5745,1568;4495,4824;1,278;"RN";"RN"
"15";"15";2021;35;6064,4075;4752,208;1,2761;"SP";"SP"
"16";"16";2021;43;7095,7981;3946,013;1,7982;"RS";"RS"
"17";"17";2021;52;7239,1881;5369,2054;1,3483;"GO";"GO"
"18";"18";2021;13;5905,0986;4193,1346;1,4083;"AM";"AM"
"19";"19";2021;26;5446,961;3895,1348;1,3984;"PE";"PE"
"20";"20";2021;14;5707,7809;5156,012;1,107;"RR";"RR"
"21";"21";2021;32;5795,7639;4251,7254;1,3632;"ES";"ES"
"22";"22";2021;51;6738,0916;4547,849;1,4816;"MT";"MT"
"23";"23";2021;16;6947,974;6515,3502;1,0664;"AP";"AP"
"24";"24";2021;41;6678,6977;5307,7592;1,2583;"PR";"PR"
"25";"25";2021;22;4787,5386;3589,2376;1,3339;"PI";"PI"
"26";"26";2021;11;6401;6247,6667;1,0245;"RO";"RO"
"27";"27";2021;17;5105,326;3760,2616;1,3577;"TO";"TO"
"28";"28";2020;26;5950,9683;4352,3177;1,3673;"PE";"PE"
"29";"29";2020;12;6462,2367;4972,7856;1,2995;"AC";"AC"
"30";"30";2020;28;5888,945;4195,2425;1,4037;"SE";"SE"
"31";"31";2020;33;6019,5194;4732,0771;1,2721;"RJ";"RJ"
"32";"32";2020;25;4641,1283;3916,161;1,1851;"PB";"PB"
"33";"33";2020;52;7756,4471;5099,1276;1,5211;"GO";"GO"
"34";"34";2020;35;6438,1119;4837,1124;1,331;"SP";"SP"
"35";"35";2020;13;6293,7513;4519,4896;1,3926;"AM";"AM"
"36";"36";2020;17;6297,9649;4581,6274;1,3746;"TO";"TO"
"37";"37";2020;23;5554,5264;4311,9466;1,2882;"CE";"CE"
"38";"38";2020;31;7060,2068;3856,7134;1,8306;"MG";"MG"
"39";"39";2020;42;6944,7629;4732,4786;1,4675;"SC";"SC"
"40";"40";2020;27;5615,5971;3617,1564;1,5525;"AL";"AL"
"41";"41";2020;15;5765,7222;5541,5045;1,0405;"PA";"PA"
"42";"42";2020;43;8342,5508;4571,9611;1,8247;"RS";"RS"
"43";"43";2020;11;5064,8501;3866,4278;1,31;"RO";"RO"
"44";"44";2020;32;6781,564;4992,8019;1,3583;"ES";"ES"
"45";"45";2020;16;7166,9859;6574,599;1,0901;"AP";"AP"
"46";"46";2020;21;6208,3696;5203,0978;1,1932;"MA";"MA"
"47";"47";2020;51;7905,8373;5585,6057;1,4154;"MT";"MT"
"48";"48";2020;53;9878,5577;8714,7178;1,1335;"DF";"DF"
"49";"49";2020;50;7081,041;5141,4527;1,3772;"MS";"MS"
"50";"50";2020;41;7219,0215;5661,3998;1,2751;"PR";"PR"
"51";"51";2020;29;6390,6597;5680,2442;1,1251;"BA";"BA"
"52";"52";2020;24;5736,1798;4576,3673;1,2534;"RN";"RN"
"53";"53";2020;22;4836,6409;3543,2506;1,365;"PI";"PI"
"54";"54";2020;14;5986,3585;5196,3347;1,152;"RR";"RR"
"55";"55";2019;12;6064,4572;4568,6245;1,3274;"AC";"AC"
"56";"56";2019;29;8046,0991;7557,2895;1,0647;"BA";"BA"
"57";"57";2019;21;6429,1044;5162,0266;1,2455;"MA";"MA"
"58";"58";2019;42;7579,1489;4983,643;1,5208;"SC";"SC"
"59";"59";2019;43;9225,8084;4779,7554;1,9302;"RS";"RS"
"60";"60";2019;25;4638,1424;4027,5917;1,1516;"PB";"PB"
"61";"61";2019;24;5891,7612;4650,47;1,2669;"RN";"RN"
"62";"62";2019;26;6515,5763;4639,6331;1,4043;"PE";"PE"
"63";"63";2019;28;7517,8041;5196,4738;1,4467;"SE";"SE"
"64";"64";2019;16;7973,3289;7280,7602;1,0951;"AP";"AP"
"65";"65";2019;51;8282,4255;5498,708;1,5062;"MT";"MT"
"66";"66";2019;27;5914,3408;3773,2462;1,5674;"AL";"AL"
"67";"67";2019;11;4342,0471;3211,8959;1,3519;"RO";"RO"
"68";"68";2019;22;5512,401;3893,2119;1,4159;"PI";"PI"
"69";"69";2019;15;6079,8177;5723,2952;1,0623;"PA";"PA"
"70";"70";2019;17;7607,1222;5122,4158;1,4851;"TO";"TO"
"71";"71";2019;35;6729,2689;4864,0763;1,3835;"SP";"SP"
"72";"72";2019;23;5806,7925;4397,244;1,3206;"CE";"CE"
"73";"73";2019;33;6995,6344;5147,7933;1,359;"RJ";"RJ"
"74";"74";2019;52;8335,0145;5250,5174;1,5875;"GO";"GO"
"75";"75";2019;50;7924,3764;5974,2544;1,3264;"MS";"MS"
"76";"76";2019;31;7147,6813;3890,7786;1,8371;"MG";"MG"
"77";"77";2019;41;7863,3361;5744,2958;1,3689;"PR";"PR"
"78";"78";2019;53;10601,7446;9273,8807;1,1432;"DF";"DF"
"79";"79";2019;14;6486,7703;5484,3363;1,1828;"RR";"RR"
"80";"80";2019;13;6820,1215;4952,6867;1,3771;"AM";"AM"
"81";"81";2019;32;6164,939;4257,8453;1,4479;"ES";"ES"
"82";"82";2018;24;5912,6469;4672,8192;1,2653;"RN";"RN"
"83";"83";2018;29;6938,5036;5896,7706;1,1767;"BA";"BA"
"84";"84";2018;43;9011,6709;4755,8794;1,8948;"RS";"RS"
"85";"85";2018;25;4768,2774;4191,2355;1,1377;"PB";"PB"
"86";"86";2018;16;7907,0532;7341,5929;1,077;"AP";"AP"
"87";"87";2018;22;5602,9709;3968,8941;1,4117;"PI";"PI"
"88";"88";2018;15;5915,0731;5694,3441;1,0388;"PA";"PA"
"89";"89";2018;51;7804,2367;5171,1284;1,5092;"MT";"MT"
"90";"90";2018;14;6448,759;5727,4036;1,1259;"RR";"RR"
"91";"91";2018;11;5269,1072;3635,7827;1,4492;"RO";"RO"
"92";"92";2018;42;7637,8891;4888,5456;1,5624;"SC";"SC"
"93";"93";2018;33;6791,7231;5075,3357;1,3382;"RJ";"RJ"
"94";"94";2018;41;8038,9888;5831,0485;1,3787;"PR";"PR"
"95";"95";2018;52;7809,0091;5297,0739;1,4742;"GO";"GO"
"96";"96";2018;21;6440,4237;5207,0807;1,2369;"MA";"MA"
"97";"97";2018;27;6334,3832;4072,4393;1,5554;"AL";"AL"
"98";"98";2018;35;6719,3379;4919,3263;1,3659;"SP";"SP"
"99";"99";2018;12;6303,9184;4949,7135;1,2736;"AC";"AC"
"100";"100";2018;28;7403,1749;5147,3573;1,4382;"SE";"SE"
"101";"101";2018;31;7144,6368;3967,9584;1,8006;"MG";"MG"
"102";"102";2018;26;6390,7823;4563,8083;1,4003;"PE";"PE"
"103";"103";2018;53;10881,5112;9445,6663;1,152;"DF";"DF"
"104";"104";2018;50;7822,5199;5704,7487;1,3712;"MS";"MS"
